bps_kode_provinsi;bps_nama_provinsi;tahun;triwulan;kode_lapangan_usaha;lapangan_usaha;pdrb;satuan
11;Aceh;2010;;A;Pertanian. Kehutanan. dan Perikanan;25579.57;Miliar Rupiah
11;Aceh;2010;;B;Pertambangan dan Penggalian;15582.03;Miliar Rupiah
11;Aceh;2010;;C;Industri Pengolahan;8982.95;Miliar Rupiah
11;Aceh;2010;;D;Pengadaan Listrik dan Gas;112.03;Miliar Rupiah
11;Aceh;2010;;E;"Pengadaan Air; Pengelolaan Sampah. Limbah. dan Daur Ulang";25.24;Miliar Rupiah
11;Aceh;2010;;F;Konstruksi;8206.01;Miliar Rupiah
11;Aceh;2010;;G;"Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor";13861.52;Miliar Rupiah
11;Aceh;2010;;H;Transportasi dan Pergudangan;7387.82;Miliar Rupiah
11;Aceh;2010;;I;Penyediaan Akomodasi dan Makan Minum;910.69;Miliar Rupiah
11;Aceh;2010;;J;Informasi dan Komunikasi;3278.25;Miliar Rupiah
11;Aceh;2010;;K;Jasa Keuangan dan Asuransi;1466.19;Miliar Rupiah
11;Aceh;2010;;L;Real Estat;3149.00;Miliar Rupiah
11;Aceh;2010;;M. N;Jasa Perusahaan;539.37;Miliar Rupiah
11;Aceh;2010;;O;Administrasi Pemerintahan. Pertahanan. dan Jaminan Sosial Wajib;7186.51;Miliar Rupiah
11;Aceh;2010;;P;Jasa Pendidikan;1991.12;Miliar Rupiah
11;Aceh;2010;;Q;Jasa Kesehatan dan Kegiatan Sosial;2160.42;Miliar Rupiah
11;Aceh;2010;;R. S. T. U;Jasa Lainnya;1126.53;Miliar Rupiah
11;Aceh;2011;;A;Pertanian. Kehutanan. dan Perikanan;27553.52;Miliar Rupiah
11;Aceh;2011;;B;Pertambangan dan Penggalian;15912.46;Miliar Rupiah
11;Aceh;2011;;C;Industri Pengolahan;9360.00;Miliar Rupiah
11;Aceh;2011;;D;Pengadaan Listrik dan Gas;116.66;Miliar Rupiah
11;Aceh;2011;;E;"Pengadaan Air; Pengelolaan Sampah. Limbah. dan Daur Ulang";28.55;Miliar Rupiah
11;Aceh;2011;;F;Konstruksi;8916.64;Miliar Rupiah
11;Aceh;2011;;G;"Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor";15214.78;Miliar Rupiah
11;Aceh;2011;;H;Transportasi dan Pergudangan;7971.07;Miliar Rupiah
11;Aceh;2011;;I;Penyediaan Akomodasi dan Makan Minum;1020.83;Miliar Rupiah
11;Aceh;2011;;J;Informasi dan Komunikasi;3447.66;Miliar Rupiah
11;Aceh;2011;;K;Jasa Keuangan dan Asuransi;1675.56;Miliar Rupiah
11;Aceh;2011;;L;Real Estat;3371.70;Miliar Rupiah
11;Aceh;2011;;M. N;Jasa Perusahaan;571.24;Miliar Rupiah
11;Aceh;2011;;O;Administrasi Pemerintahan. Pertahanan. dan Jaminan Sosial Wajib;7526.19;Miliar Rupiah
11;Aceh;2011;;P;Jasa Pendidikan;2028.98;Miliar Rupiah
11;Aceh;2011;;Q;Jasa Kesehatan dan Kegiatan Sosial;2289.29;Miliar Rupiah
11;Aceh;2011;;R. S. T. U;Jasa Lainnya;1212.49;Miliar Rupiah
11;Aceh;2012;;A;Pertanian. Kehutanan. dan Perikanan;29643.04;Miliar Rupiah
11;Aceh;2012;;B;Pertambangan dan Penggalian;15363.82;Miliar Rupiah
11;Aceh;2012;;C;Industri Pengolahan;9859.25;Miliar Rupiah
11;Aceh;2012;;D;Pengadaan Listrik dan Gas;120.16;Miliar Rupiah
11;Aceh;2012;;E;"Pengadaan Air; Pengelolaan Sampah. Limbah. dan Daur Ulang";32.48;Miliar Rupiah
11;Aceh;2012;;F;Konstruksi;9622.11;Miliar Rupiah
11;Aceh;2012;;G;"Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor";16390.46;Miliar Rupiah
11;Aceh;2012;;H;Transportasi dan Pergudangan;8605.70;Miliar Rupiah
11;Aceh;2012;;I;Penyediaan Akomodasi dan Makan Minum;1145.55;Miliar Rupiah
11;Aceh;2012;;J;Informasi dan Komunikasi;3741.28;Miliar Rupiah
11;Aceh;2012;;K;Jasa Keuangan dan Asuransi;1876.87;Miliar Rupiah
11;Aceh;2012;;L;Real Estat;3579.38;Miliar Rupiah
11;Aceh;2012;;M. N;Jasa Perusahaan;620.39;Miliar Rupiah
11;Aceh;2012;;O;Administrasi Pemerintahan. Pertahanan. dan Jaminan Sosial Wajib;8000.75;Miliar Rupiah
11;Aceh;2012;;P;Jasa Pendidikan;2092.83;Miliar Rupiah
11;Aceh;2012;;Q;Jasa Kesehatan dan Kegiatan Sosial;2547.95;Miliar Rupiah
11;Aceh;2012;;R. S. T. U;Jasa Lainnya;1310.06;Miliar Rupiah
11;Aceh;2013;;A;Pertanian. Kehutanan. dan Perikanan;32254.07;Miliar Rupiah
11;Aceh;2013;;B;Pertambangan dan Penggalian;14745.74;Miliar Rupiah
11;Aceh;2013;;C;Industri Pengolahan;9759.31;Miliar Rupiah
11;Aceh;2013;;D;Pengadaan Listrik dan Gas;121.83;Miliar Rupiah
11;Aceh;2013;;E;"Pengadaan Air; Pengelolaan Sampah. Limbah. dan Daur Ulang";35.74;Miliar Rupiah
11;Aceh;2013;;F;Konstruksi;10396.16;Miliar Rupiah
11;Aceh;2013;;G;"Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor";17513.91;Miliar Rupiah
11;Aceh;2013;;H;Transportasi dan Pergudangan;9345.93;Miliar Rupiah
11;Aceh;2013;;I;Penyediaan Akomodasi dan Makan Minum;1290.93;Miliar Rupiah
11;Aceh;2013;;J;Informasi dan Komunikasi;3921.16;Miliar Rupiah
11;Aceh;2013;;K;Jasa Keuangan dan Asuransi;2106.94;Miliar Rupiah
11;Aceh;2013;;L;Real Estat;3856.06;Miliar Rupiah
11;Aceh;2013;;M. N;Jasa Perusahaan;664.73;Miliar Rupiah
11;Aceh;2013;;O;Administrasi Pemerintahan. Pertahanan. dan Jaminan Sosial Wajib;8844.48;Miliar Rupiah
11;Aceh;2013;;P;Jasa Pendidikan;2279.67;Miliar Rupiah
11;Aceh;2013;;Q;Jasa Kesehatan dan Kegiatan Sosial;2784.61;Miliar Rupiah
11;Aceh;2013;;R. S. T. U;Jasa Lainnya;1409.85;Miliar Rupiah
11;Aceh;2014;;A;Pertanian. Kehutanan. dan Perikanan;34376.59;Miliar Rupiah
11;Aceh;2014;;B;Pertambangan dan Penggalian;13578.03;Miliar Rupiah
11;Aceh;2014;;C;Industri Pengolahan;9481.10;Miliar Rupiah
11;Aceh;2014;;D;Pengadaan Listrik dan Gas;135.46;Miliar Rupiah
11;Aceh;2014;;E;"Pengadaan Air; Pengelolaan Sampah. Limbah. dan Daur Ulang";39.48;Miliar Rupiah
11;Aceh;2014;;F;Konstruksi;11482.86;Miliar Rupiah
11;Aceh;2014;;G;"Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor";18970.31;Miliar Rupiah
