bps_kode_provinsi;bps_nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;tahun;nilai;satuan
11;Aceh;1101;Kabupaten Simeulue;2010;13.29;Juta Rupiah
11;Aceh;1102;Kabupaten Aceh Singkil;2010;11.73;Juta Rupiah
11;Aceh;1103;Kabupaten Aceh Selatan;2010;13.93;Juta Rupiah
11;Aceh;1104;Kabupaten Aceh Tenggara;2010;12.99;Juta Rupiah
11;Aceh;1105;Kabupaten Aceh Timur;2010;20.08;Juta Rupiah
11;Aceh;1106;Kabupaten Aceh Tengah;2010;22.5;Juta Rupiah
11;Aceh;1107;Kabupaten Aceh Barat;2010;25.57;Juta Rupiah
11;Aceh;1108;Kabupaten Aceh Besar;2010;20.02;Juta Rupiah
11;Aceh;1109;Kabupaten Pidie;2010;13.97;Juta Rupiah
11;Aceh;1110;Kabupaten Bireuen;2010;18.17;Juta Rupiah
11;Aceh;1111;Kabupaten Aceh Utara;2010;32.21;Juta Rupiah
11;Aceh;1112;Kabupaten Aceh Barat Daya;2010;17.65;Juta Rupiah
11;Aceh;1113;Kabupaten Gayo Lues;2010;17.37;Juta Rupiah
11;Aceh;1114;Kabupaten Aceh Tamiang;2010;17.38;Juta Rupiah
11;Aceh;1115;Kabupaten Nagan Raya;2010;32.6;Juta Rupiah
11;Aceh;1116;Kabupaten Aceh Jaya;2010;18.43;Juta Rupiah
11;Aceh;1117;Kabupaten Bener Meriah;2010;19.68;Juta Rupiah
11;Aceh;1118;Kabupaten Pidie Jaya;2010;13.19;Juta Rupiah
11;Aceh;1171;Kota Banda Aceh;2010;44.7;Juta Rupiah
11;Aceh;1172;Kota Sabang;2010;24.14;Juta Rupiah
11;Aceh;1173;Kota Langsa;2010;17.44;Juta Rupiah
11;Aceh;1174;Kota Lhokseumawe;2010;52.88;Juta Rupiah
11;Aceh;1175;Kota Subulussalam;2010;13.26;Juta Rupiah
11;Aceh;1101;Kabupaten Simeulue;2011;14.05;Juta Rupiah
